occ_year,occ_month,difference,location,bicycle_status
2014,5,2,Apartment,STOLEN
2014,6,1,House,STOLEN
2014,6,1,Outside,STOLEN
2014,5,2,House,STOLEN
2014,6,0,Other,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,5,15,House,STOLEN
2014,5,24,Outside,STOLEN
2014,5,15,House,STOLEN
2014,5,3,Other,STOLEN
2014,5,3,House,STOLEN
2014,6,2,Outside,STOLEN
2014,1,151,Outside,STOLEN
2014,6,0,Other,STOLEN
2014,6,2,House,STOLEN
2014,6,2,Apartment,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Other,STOLEN
2014,6,1,House,STOLEN
2014,6,1,Other,STOLEN
2014,6,1,Outside,STOLEN
2014,5,4,Outside,STOLEN
2014,6,0,House,STOLEN
2014,5,9,Other,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,5,21,Educational,STOLEN
2014,6,2,Outside,STOLEN
2014,6,1,Other,UNKNOWN
2014,6,0,Outside,STOLEN
2014,6,1,Other,STOLEN
2014,6,1,Other,STOLEN
2014,6,2,Outside,STOLEN
2014,5,9,Other,STOLEN
2014,4,48,Educational,UNKNOWN
2014,5,26,Apartment,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,4,48,Educational,STOLEN
2014,6,1,Other,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,0,House,STOLEN
2014,6,0,Apartment,STOLEN
2014,6,1,Outside,STOLEN
2014,1,152,Other,STOLEN
2014,6,2,Other,STOLEN
2014,6,1,Outside,STOLEN
2014,6,3,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,5,6,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Other,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,3,Outside,STOLEN
2014,6,3,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,4,Commercial,STOLEN
2014,5,11,Outside,UNKNOWN
2014,6,0,Outside,STOLEN
2014,6,2,Other,STOLEN
2014,6,4,Outside,STOLEN
2014,6,2,Apartment,STOLEN
